280, 280

377.082, 350.534
375.202, 353.051
280, 280

375.202, 353.051
373.258, 355.518
280, 280

373.258, 355.518
371.249, 357.934
280, 280

371.249, 357.934
369.177, 360.296
280, 280

369.177, 360.296
367.045, 362.603
280, 280

367.045, 362.603
364.853, 364.853
280, 280

364.853, 364.853
362.603, 367.045
280, 280

362.603, 367.045
360.296, 369.177
280, 280

360.296, 369.177
357.934, 371.249
280, 280

357.934, 371.249
355.518, 373.258
280, 280

355.518, 373.258
353.051, 375.202
280, 280

353.051, 375.202
350.534, 377.082
280, 280

350.534, 377.082
347.969, 378.895
280, 280

347.969, 378.895
345.357, 380.64
280, 280

345.357, 380.64
342.7, 382.317
280, 280

342.7, 382.317
340, 383.923
280, 280

340, 383.923
337.259, 385.458
280, 280

337.259, 385.458
334.479, 386.921
280, 280

334.479, 386.921
331.661, 388.31
280, 280

331.661, 388.31
328.808, 389.625
280, 280

328.808, 389.625
325.922, 390.866
280, 280

325.922, 390.866
323.004, 392.03
280, 280

323.004, 392.03
320.057, 393.117
280, 280

320.057, 393.117
317.082, 394.127
280, 280

317.082, 394.127
314.082, 395.058
280, 280

314.082, 395.058
311.058, 395.911
280, 280

311.058, 395.911
308.014, 396.684
280, 280

308.014, 396.684
304.949, 397.378
280, 280

304.949, 397.378
301.868, 397.991
280, 280

301.868, 397.991
298.772, 398.523
280, 280

298.772, 398.523
295.663, 398.973
280, 280

295.663, 398.973
292.544, 399.343
280, 280

292.544, 399.343
289.415, 399.63
280, 280

289.415, 399.63
286.28, 399.836
280, 280

286.28, 399.836
280, 400
280, 280

-280, -400
283.141, -399.959
280, -280

283.141, -399.959
283.141, -399.959
280, -280

283.141, -399.959
286.28, -399.836
280, -280

286.28, -399.836
289.415, -399.63
280, -280

289.415, -399.63
292.543, -399.343
280, -280

292.543, -399.343
295.663, -398.973
280, -280

295.663, -398.973
298.772, -398.523
280, -280

298.772, -398.523
301.868, -397.991
280, -280

301.868, -397.991
304.949, -397.378
280, -280

304.949, -397.378
308.013, -396.684
280, -280

308.013, -396.684
311.058, -395.911
280, -280

311.058, -395.911
314.082, -395.058
280, -280

314.082, -395.058
317.082, -394.127
280, -280

317.082, -394.127
320.057, -393.117
280, -280

320.057, -393.117
323.004, -392.03
280, -280

323.004, -392.03
325.922, -390.866
280, -280

325.922, -390.866
328.808, -389.625
280, -280

328.808, -389.625
331.661, -388.31
280, -280

331.661, -388.31
334.479, -386.921
280, -280

334.479, -386.921
337.259, -385.458
280, -280

337.259, -385.458
340, -383.923
280, -280

340, -383.923
342.7, -382.317
280, -280

342.7, -382.317
345.357, -380.641
280, -280

345.357, -380.641
347.969, -378.895
280, -280

347.969, -378.895
350.534, -377.082
280, -280

350.534, -377.082
353.051, -375.202
280, -280

353.051, -375.202
355.518, -373.258
280, -280

355.518, -373.258
357.934, -371.249
280, -280

357.934, -371.249
360.296, -369.177
280, -280

360.296, -369.177
362.602, -367.045
280, -280

362.602, -367.045
364.853, -364.853
280, -280

364.853, -364.853
367.045, -362.603
280, -280

367.045, -362.603
369.177, -360.296
280, -280

369.177, -360.296
371.249, -357.934
280, -280

371.249, -357.934
373.257, -355.519
280, -280

373.257, -355.519
375.202, -353.051
280, -280

375.202, -353.051
377.082, -350.534
280, -280

377.082, -350.534
378.895, -347.969
280, -280

378.895, -347.969
380.64, -345.357
280, -280

380.64, -345.357
382.317, -342.7
280, -280

382.317, -342.7
383.923, -340
280, -280

383.923, -340
385.458, -337.259
280, -280

385.458, -337.259
386.921, -334.479
280, -280

386.921, -334.479
388.31, -331.661
280, -280

388.31, -331.661
389.625, -328.809
280, -280

389.625, -328.809
390.865, -325.922
280, -280

390.865, -325.922
392.03, -323.004
280, -280

392.03, -323.004
393.117, -320.057
280, -280

393.117, -320.057
394.127, -317.082
280, -280

394.127, -317.082
395.058, -314.082
280, -280

395.058, -314.082
395.911, -311.058
280, -280

395.911, -311.058
396.684, -308.014
280, -280

396.684, -308.014
397.378, -304.95
280, -280

397.378, -304.95
397.991, -301.868
280, -280

397.991, -301.868
398.523, -298.772
280, -280

398.523, -298.772
398.973, -295.663
280, -280

398.973, -295.663
399.343, -292.544
280, -280

399.343, -292.544
399.63, -289.415
280, -280

399.63, -289.415
399.836, -286.28
280, -280

399.836, -286.28
400, -280
280, -280

-400, 280
-399.959, -283.141
-280, -280

-399.959, -283.141
-399.959, -283.141
-280, -280

-399.959, -283.141
-399.836, -286.28
-280, -280

-399.836, -286.28
-399.63, -289.415
-280, -280

-399.63, -289.415
-399.343, -292.543
-280, -280

-399.343, -292.543
-398.973, -295.663
-280, -280

-398.973, -295.663
-398.523, -298.772
-280, -280

-398.523, -298.772
-397.991, -301.868
-280, -280

-397.991, -301.868
-397.378, -304.949
-280, -280

-397.378, -304.949
-396.684, -308.014
-280, -280

-396.684, -308.014
-395.911, -311.058
-280, -280

-395.911, -311.058
-395.058, -314.082
-280, -280

-395.058, -314.082
-394.127, -317.082
-280, -280

-394.127, -317.082
-393.117, -320.057
-280, -280

-393.117, -320.057
-392.03, -323.004
-280, -280

-392.03, -323.004
-390.865, -325.922
-280, -280

-390.865, -325.922
-389.625, -328.809
-280, -280

-389.625, -328.809
-388.31, -331.661
-280, -280

-388.31, -331.661
-386.921, -334.479
-280, -280

-386.921, -334.479
-385.458, -337.259
-280, -280

-385.458, -337.259
-383.923, -340
-280, -280

-383.923, -340
-382.317, -342.7
-280, -280

-382.317, -342.7
-380.64, -345.357
-280, -280

-380.64, -345.357
-378.895, -347.969
-280, -280

-378.895, -347.969
-377.082, -350.534
-280, -280

-377.082, -350.534
-375.202, -353.052
-280, -280

-375.202, -353.052
-373.257, -355.519
-280, -280

-373.257, -355.519
-371.249, -357.934
-280, -280

-371.249, -357.934
-369.177, -360.296
-280, -280

-369.177, -360.296
-367.045, -362.603
-280, -280

-367.045, -362.603
-364.853, -364.853
-280, -280

-364.853, -364.853
-362.602, -367.045
-280, -280

-362.602, -367.045
-360.295, -369.178
-280, -280

-360.295, -369.178
-357.934, -371.249
-280, -280

-357.934, -371.249
-355.518, -373.258
-280, -280

-355.518, -373.258
-353.051, -375.203
-280, -280

-353.051, -375.203
-350.534, -377.082
-280, -280

-350.534, -377.082
-347.968, -378.895
-280, -280

-347.968, -378.895
-345.356, -380.641
-280, -280

-345.356, -380.641
-342.699, -382.317
-280, -280

-342.699, -382.317
-340, -383.923
-280, -280

-340, -383.923
-337.259, -385.458
-280, -280

-337.259, -385.458
-334.478, -386.921
-280, -280

-334.478, -386.921
-331.661, -388.31
-280, -280

-331.661, -388.31
-328.808, -389.626
-280, -280

-328.808, -389.626
-325.922, -390.866
-280, -280

-325.922, -390.866
-323.004, -392.03
-280, -280

-323.004, -392.03
-320.056, -393.117
-280, -280

-320.056, -393.117
-317.082, -394.127
-280, -280

-317.082, -394.127
-314.081, -395.059
-280, -280

-314.081, -395.059
-311.058, -395.911
-280, -280

-311.058, -395.911
-308.013, -396.685
-280, -280

-308.013, -396.685
-304.949, -397.378
-280, -280

-304.949, -397.378
-301.868, -397.991
-280, -280

-301.868, -397.991
-298.772, -398.523
-280, -280

-298.772, -398.523
-295.663, -398.973
-280, -280

-295.663, -398.973
-292.543, -399.343
-280, -280

-292.543, -399.343
-289.415, -399.63
-280, -280

-289.415, -399.63
-286.28, -399.836
-280, -280

-286.28, -399.836
280, -400
-280, -280

